 

stn;time;rre024i0
SLFFIR;2000101512;17.0
SLFFIR;2000101513;17.0
SLFFIR;2000101514;17.0
SLFFIR;2000101515;17.0
SLFFIR;2000101516;17.0
SLFFIR;2000101517;17.0
SLFFIR;2000101518;17.0
SLFFIR;2000101519;17.0
SLFFIR;2000101520;17.0
SLFFIR;2000101521;16.2
SLFFIR;2000101522;15.6
SLFFIR;2000101523;14.6
SLFFIR;2000101600;13.2
SLFFIR;2000101601;9.8
SLFFIR;2000101602;8.0
SLFFIR;2000101603;6.4
SLFFIR;2000101604;3.2
SLFFIR;2000101605;2.2
SLFFIR;2000101606;2.0
SLFFIR;2000101607;1.2
SLFFIR;2000101608;0.6
SLFFIR;2000101609;0.4
SLFFIR;2000101610;0.4
SLFFIR;2000101611;0.2
SLFFIR;2000101612;0.2
SLFFIR;2000101613;0.2
SLFFIR;2000101614;0.2
SLFFIR;2000101615;0.2
SLFFIR;2000101616;0.2
SLFFIR;2000101617;0.2
SLFFIR;2000101618;0.2
SLFFIR;2000101619;0.0
SLFFIR;2000101620;0.2
SLFFIR;2000101621;0.4
SLFFIR;2000101622;0.4
SLFFIR;2000101623;0.4
SLFFIR;2000101700;0.4
SLFFIR;2000101701;0.4
SLFFIR;2000101702;0.4
SLFFIR;2000101703;1.0
SLFFIR;2000101704;1.2
SLFFIR;2000101705;1.4
SLFFIR;2000101706;1.6
SLFFIR;2000101707;1.8
SLFFIR;2000101708;2.2
SLFFIR;2000101709;3.8
SLFFIR;2000101710;4.8
SLFFIR;2000101711;5.6
SLFFIR;2000101712;5.8
SLFFIR;2000101713;6.0
SLFFIR;2000101714;6.6
SLFFIR;2000101715;6.6
SLFFIR;2000101716;7.2
SLFFIR;2000101717;7.8
SLFFIR;2000101718;7.8
SLFFIR;2000101719;8.0
SLFFIR;2000101720;7.8
SLFFIR;2000101721;7.6
SLFFIR;2000101722;7.6
SLFFIR;2000101723;7.6
SLFFIR;2000101800;7.6
SLFFIR;2000101801;7.6
SLFFIR;2000101802;7.6
SLFFIR;2000101803;7.0
SLFFIR;2000101804;6.8
SLFFIR;2000101805;6.6
SLFFIR;2000101806;6.4
SLFFIR;2000101807;6.2
SLFFIR;2000101808;5.8
SLFFIR;2000101809;4.2
SLFFIR;2000101810;3.2
SLFFIR;2000101811;2.4
SLFFIR;2000101812;2.2
SLFFIR;2000101813;2.0
SLFFIR;2000101814;1.4
SLFFIR;2000101815;1.4
SLFFIR;2000101816;0.8
SLFFIR;2000101817;0.2
SLFFIR;2000101818;0.2
SLFFIR;2000101819;0.0
SLFFIR;2000101820;0.0
SLFFIR;2000101821;0.0
SLFFIR;2000101822;0.0
SLFFIR;2000101823;0.0
SLFFIR;2000101900;0.0
SLFFIR;2000101901;0.0
SLFFIR;2000101902;0.0
SLFFIR;2000101903;0.0
SLFFIR;2000101904;0.0
SLFFIR;2000101905;0.0
SLFFIR;2000101906;0.0
SLFFIR;2000101907;0.0
SLFFIR;2000101908;0.0
SLFFIR;2000101909;0.0
SLFFIR;2000101910;0.0
SLFFIR;2000101911;0.0
SLFFIR;2000101912;0.0
SLFFIR;2000101913;0.0
SLFFIR;2000101914;0.0
SLFFIR;2000101915;0.0
SLFFIR;2000101916;0.0
SLFFIR;2000101917;0.0
SLFFIR;2000101918;0.0
SLFFIR;2000101919;0.0
SLFFIR;2000101920;0.0
SLFFIR;2000101921;0.0
SLFFIR;2000101922;0.0
SLFFIR;2000101923;0.0
SLFFIR;2000102000;0.0
SLFFIR;2000102001;0.0
SLFFIR;2000102002;0.0
SLFFIR;2000102003;0.0
SLFFIR;2000102004;0.0
SLFFIR;2000102005;0.0
SLFFIR;2000102006;0.0
SLFFIR;2000102007;0.0
SLFFIR;2000102008;0.0
SLFFIR;2000102009;0.0
SLFFIR;2000102010;0.0
SLFFIR;2000102011;0.0
SLFFIR;2000102012;0.0
SLFFIR;2000102013;0.0
SLFFIR;2000102014;0.0
SLFFIR;2000102015;0.0
SLFFIR;2000102016;0.0
SLFFIR;2000102017;0.0
SLFFIR;2000102018;0.0
SLFFIR;2000102019;0.0
SLFFIR;2000102020;0.0
SLFFIR;2000102021;0.0
SLFFIR;2000102022;0.0
SLFFIR;2000102023;0.0
SLFFIR;2000102100;0.0
SLFFIR;2000102101;0.0
SLFFIR;2000102102;0.0
SLFFIR;2000102103;0.0
SLFFIR;2000102104;0.0
SLFFIR;2000102105;0.0
SLFFIR;2000102106;0.0
SLFFIR;2000102107;0.0
SLFFIR;2000102108;0.0
SLFFIR;2000102109;0.0
SLFFIR;2000102110;0.0
SLFFIR;2000102111;0.0
SLFFIR;2000102112;0.0
SLFFIR;2000102113;0.0
SLFFIR;2000102114;0.0
SLFFIR;2000102115;0.0
SLFFIR;2000102116;0.0
SLFFIR;2000102117;0.0
SLFFIR;2000102118;0.0
SLFFIR;2000102119;0.0
SLFFIR;2000102120;0.0
SLFFIR;2000102121;0.0
SLFFIR;2000102122;0.0
SLFFIR;2000102123;0.0
SLFFIR;2000102200;0.0
SLFFIR;2000102201;0.0
SLFFIR;2000102202;0.0
SLFFIR;2000102203;0.0
SLFFIR;2000102204;0.0
SLFFIR;2000102205;0.0
SLFFIR;2000102206;0.0
SLFFIR;2000102207;0.0
SLFFIR;2000102208;0.0
SLFFIR;2000102209;0.0
SLFFIR;2000102210;0.0
SLFFIR;2000102211;0.0
SLFFIR;2000102212;0.0
SLFFIR;2000102213;0.0
SLFFIR;2000102214;0.0
SLFFIR;2000102215;0.0
SLFFIR;2000102216;0.0
SLFFIR;2000102217;0.0
SLFFIR;2000102218;0.0
SLFFIR;2000102219;0.0
SLFFIR;2000102220;0.0
SLFFIR;2000102221;0.0
SLFFIR;2000102222;0.0
SLFFIR;2000102223;0.0
SLFFIR;2000102300;0.0
SLFFIR;2000102301;0.0
SLFFIR;2000102302;0.0
SLFFIR;2000102303;0.0
SLFFIR;2000102304;0.0
SLFFIR;2000102305;0.0
SLFFIR;2000102306;0.0
SLFFIR;2000102307;0.0
SLFFIR;2000102308;0.0
SLFFIR;2000102309;0.0
SLFFIR;2000102310;0.0
SLFFIR;2000102311;0.0
SLFFIR;2000102312;0.0
SLFFIR;2000102313;0.0
SLFFIR;2000102314;0.0
SLFFIR;2000102315;0.0
SLFFIR;2000102316;0.0
SLFFIR;2000102317;0.0
SLFFIR;2000102318;0.0
SLFFIR;2000102319;0.0
SLFFIR;2000102320;0.0
SLFFIR;2000102321;0.0
SLFFIR;2000102322;0.0
SLFFIR;2000102323;0.0
SLFFIR;2000102400;0.0
SLFFIR;2000102401;0.0
SLFFIR;2000102402;0.0
SLFFIR;2000102403;0.0
SLFFIR;2000102404;0.0
SLFFIR;2000102405;0.0
SLFFIR;2000102406;0.0
SLFFIR;2000102407;0.0
SLFFIR;2000102408;0.0
SLFFIR;2000102409;0.0
SLFFIR;2000102410;0.0
SLFFIR;2000102411;0.0
SLFFIR;2000102412;0.0
SLFFIR;2000102413;0.0
SLFFIR;2000102414;0.0
SLFFIR;2000102415;0.0
SLFFIR;2000102416;0.0
SLFFIR;2000102417;0.0
