time,EIG,KSE
1962-01-01,,135.0
1962-02-01,,84.9
1962-03-01,,102.2
1962-04-01,,89.9
1962-05-01,,173.4
1962-06-01,,120.2
1962-07-01,,128.1
1962-08-01,,113.3
1962-09-01,,92.0
1962-10-01,,37.6
1962-11-01,,62.8
1962-12-01,,217.2
1963-01-01,,56.5
1963-02-01,,51.4
1963-03-01,,200.0
1963-04-01,,90.6
1963-05-01,,200.4
1963-06-01,,252.2
1963-07-01,,194.7
1963-08-01,,186.3
1963-09-01,,98.0
1963-10-01,,83.6
1963-11-01,,147.4
1963-12-01,,17.1
1964-01-01,,15.8
1964-02-01,,38.1
1964-03-01,,117.6
1964-04-01,,133.9
1964-05-01,,177.1
1964-06-01,,155.3
1964-07-01,,111.5
1964-08-01,,170.9
1964-09-01,,92.2
1964-10-01,,107.3
1964-11-01,,110.4
1964-12-01,,132.0
1965-01-01,,81.6
1965-02-01,,78.8
1965-03-01,,162.5
1965-04-01,,238.6
1965-05-01,,201.6
1965-06-01,,171.1
1965-07-01,,252.6
1965-08-01,,267.6
1965-09-01,,238.9
1965-10-01,,19.9
1965-11-01,,172.5
1965-12-01,,185.9
1966-01-01,,62.6
1966-02-01,,141.2
1966-03-01,,170.3
1966-04-01,,125.9
1966-05-01,,109.6
1966-06-01,,124.2
1966-07-01,,180.9
1966-08-01,,209.8
1966-09-01,,45.2
1966-10-01,,151.5
1966-11-01,,105.2
1966-12-01,,176.8
1967-01-01,,50.7
1967-02-01,,55.2
1967-03-01,,159.0
1967-04-01,,131.7
1967-05-01,,229.6
1967-06-01,,127.4
1967-07-01,,110.7
1967-08-01,,163.3
1967-09-01,,121.0
1967-10-01,,52.8
1967-11-01,,43.6
1967-12-01,,51.8
1968-01-01,,239.2
1968-02-01,,89.7
1968-03-01,,185.4
1968-04-01,,86.3
1968-05-01,,139.8
1968-06-01,,127.4
1968-07-01,,163.8
1968-08-01,,244.6
1968-09-01,,168.3
1968-10-01,,40.7
1968-11-01,,121.7
1968-12-01,,91.4
1969-01-01,,34.3
1969-02-01,,53.1
1969-03-01,,43.2
1969-04-01,,90.2
1969-05-01,,158.5
1969-06-01,,230.7
1969-07-01,,167.4
1969-08-01,,265.4
1969-09-01,,59.8
1969-10-01,,13.5
1969-11-01,,96.7
1969-12-01,,81.2
1970-01-01,,53.2
1970-02-01,,172.3
1970-03-01,,133.8
1970-04-01,,200.6
1970-05-01,,131.1
1970-06-01,,150.8
1970-07-01,,138.0
1970-08-01,,275.1
1970-09-01,,73.3
1970-10-01,,128.7
1970-11-01,,80.6
1970-12-01,,33.1
1971-01-01,,21.1
1971-02-01,,92.7
1971-03-01,,88.0
1971-04-01,,38.7
1971-05-01,,151.0
1971-06-01,,251.6
1971-07-01,,102.9
1971-08-01,,216.5
1971-09-01,,70.4
1971-10-01,,40.8
1971-11-01,,146.5
1971-12-01,,32.4
1972-01-01,,31.3
1972-02-01,,59.5
1972-03-01,,58.1
1972-04-01,,159.7
1972-05-01,,162.2
1972-06-01,,228.1
1972-07-01,,198.9
1972-08-01,,196.9
1972-09-01,,82.1
1972-10-01,,88.8
1972-11-01,,149.7
1972-12-01,,11.6
1973-01-01,,74.4
1973-02-01,,86.1
1973-03-01,,36.2
1973-04-01,,121.9
1973-05-01,,104.7
1973-06-01,,222.2
1973-07-01,,285.4
1973-08-01,,154.8
1973-09-01,,124.9
1973-10-01,,97.8
1973-11-01,,79.3
1973-12-01,,79.2
1974-01-01,,48.1
1974-02-01,,83.0
1974-03-01,,63.8
1974-04-01,,99.1
1974-05-01,,137.5
1974-06-01,,237.6
1974-07-01,,139.1
1974-08-01,,108.6
1974-09-01,,141.1
1974-10-01,,170.1
1974-11-01,,143.8
1974-12-01,,107.7
1975-01-01,,127.1
1975-02-01,,34.7
1975-03-01,,213.8
1975-04-01,,175.4
1975-05-01,,92.1
1975-06-01,,167.7
1975-07-01,,162.8
1975-08-01,,211.1
1975-09-01,,116.9
1975-10-01,,95.6
1975-11-01,,164.7
1975-12-01,,11.3
1976-01-01,,62.1
1976-02-01,,45.4
1976-03-01,,39.1
1976-04-01,,101.5
1976-05-01,,94.6
1976-06-01,,129.4
1976-07-01,,246.5
1976-08-01,,129.4
1976-09-01,,102.1
1976-10-01,,195.5
1976-11-01,,106.4
1976-12-01,,110.8
1977-01-01,,95.2
1977-02-01,,132.6
1977-03-01,,123.5
1977-04-01,,255.5
1977-05-01,,178.8
1977-06-01,,186.5
1977-07-01,,211.3
1977-08-01,,239.3
1977-09-01,,69.8
1977-10-01,,244.6
1977-11-01,,114.7
1977-12-01,,78.6
1978-01-01,,114.7
1978-02-01,,117.7
1978-03-01,,139.7
1978-04-01,,116.3
1978-05-01,,151.1
1978-06-01,,232.0
1978-07-01,,156.0
1978-08-01,,248.9
1978-09-01,,90.8
1978-10-01,,62.8
1978-11-01,,24.2
1978-12-01,,38.0
1979-01-01,,113.2
1979-02-01,,69.5
1979-03-01,,176.6
1979-04-01,,132.4
1979-05-01,,135.5
1979-06-01,,190.7
1979-07-01,,90.6
1979-08-01,,237.7
1979-09-01,,111.9
1979-10-01,,241.8
1979-11-01,,168.4
1979-12-01,,161.6
1980-01-01,,82.9
1980-02-01,,92.6
1980-03-01,,168.1
1980-04-01,,152.0
1980-05-01,,127.7
1980-06-01,,214.7
1980-07-01,,213.2
1980-08-01,,125.0
1980-09-01,,85.1
1980-10-01,,210.6
1980-11-01,,77.3
1980-12-01,,114.1
1981-01-01,,191.2
1981-02-01,,64.4
1981-03-01,,263.3
1981-04-01,,51.9
1981-05-01,,190.0
1981-06-01,,184.5
1981-07-01,,247.6
1981-08-01,,138.6
1981-09-01,,220.9
1981-10-01,,217.8
1981-11-01,,93.8
1981-12-01,,176.3
1982-01-01,,123.3
1982-02-01,,28.2
1982-03-01,,185.9
1982-04-01,,63.0
1982-05-01,,112.1
1982-06-01,,187.7
1982-07-01,,273.8
1982-08-01,,222.0
1982-09-01,,102.8
1982-10-01,,152.2
1982-11-01,,66.8
1982-12-01,,97.5
1983-01-01,,159.6
1983-02-01,,104.4
1983-03-01,,70.5
1983-04-01,,154.1
1983-05-01,,257.7
1983-06-01,,129.4
1983-07-01,,24.8
1983-08-01,,190.7
1983-09-01,,100.0
1983-10-01,,72.4
1983-11-01,,118.6
1983-12-01,,89.4
1984-01-01,,155.6
1984-02-01,,103.7
1984-03-01,,70.2
1984-04-01,,64.9
1984-05-01,,176.2
1984-06-01,,139.1
1984-07-01,,138.7
1984-08-01,,182.7
1984-09-01,,232.4
1984-10-01,,91.4
1984-11-01,,57.2
1984-12-01,,97.3
1985-01-01,,97.9
1985-02-01,,104.5
1985-03-01,,100.0
1985-04-01,,113.3
1985-05-01,,236.0
1985-06-01,,228.5
1985-07-01,,136.5
1985-08-01,,158.3
1985-09-01,,70.7
1985-10-01,,14.4
1985-11-01,,101.1
1985-12-01,,44.5
1986-01-01,,276.5
1986-02-01,,32.2
1986-03-01,,103.6
1986-04-01,,220.6
1986-05-01,,137.9
1986-06-01,,167.2
1986-07-01,,264.6
1986-08-01,,220.7
1986-09-01,,71.5
1986-10-01,,84.2
1986-11-01,,69.4
1986-12-01,,142.0
1987-01-01,,107.5
1987-02-01,,156.3
1987-03-01,,113.9
1987-04-01,,151.1
1987-05-01,,192.7
1987-06-01,,209.8
1987-07-01,,217.3
1987-08-01,,175.4
1987-09-01,,76.8
1987-10-01,,108.8
1987-11-01,,98.4
1987-12-01,,52.5
1988-01-01,,117.9
1988-02-01,,141.7
1988-03-01,,300.6
1988-04-01,,84.1
1988-05-01,,112.2
1988-06-01,,165.4
1988-07-01,,136.0
1988-08-01,,133.4
1988-09-01,,64.2
1988-10-01,,215.6
1988-11-01,,55.7
1988-12-01,,167.7
1989-01-01,,8.4
1989-02-01,,82.8
1989-03-01,,89.3
1989-04-01,,244.1
1989-05-01,,84.1
1989-06-01,,109.7
1989-07-01,,249.3
1989-08-01,,203.1
1989-09-01,,121.3
1989-10-01,,88.5
1989-11-01,,56.3
1989-12-01,,54.0
1990-01-01,,20.6
1990-02-01,,247.3
1990-03-01,,91.4
1990-04-01,,145.4
