time,JUN
2012-03-01,-8.9
2012-04-01,-10.2
2012-05-01,-5.3
2012-06-01,-0.7
2012-07-01,-0.3
2012-08-01,1.8
2012-09-01,-1.6
2012-10-01,-4.6
2012-11-01,-7.3
2012-12-01,-14.3
2013-01-01,-13.6
2013-02-01,-18.8
2013-03-01,-13.8
2013-04-01,-7.7
2013-05-01,-8.0
2013-06-01,-3.2
2013-07-01,1.7
2013-08-01,0.7
2013-09-01,-1.8
2013-10-01,-4.1
2013-11-01,-10.0
2013-12-01,-9.6
2014-01-01,-12.3
2014-02-01,-12.9
2014-03-01,-9.4
2014-04-01,-8.2
2014-05-01,-6.9
2014-06-01,-1.8
2014-07-01,-0.6
2014-08-01,-1.5
2014-09-01,-1.7
2014-10-01,-3.5
2014-11-01,-7.2
2014-12-01,-11.9
2015-01-01,-13.4
2015-02-01,-14.1
2015-03-01,-10.6
2015-04-01,-8.4
2015-05-01,-4.2
2015-06-01,-1.0
2015-07-01,3.5
2015-08-01,1.9
2015-09-01,-3.8
2015-10-01,-5.4
2015-11-01,-7.0
2015-12-01,-6.2
2016-01-01,-12.5
2016-02-01,-12.7
2016-03-01,-12.8
2016-04-01,-9.0
2016-05-01,-6.3
2016-06-01,-1.9
2016-07-01,1.0
2016-08-01,1.2
2016-09-01,-0.5
2016-10-01,-5.8
2016-11-01,-9.3
2016-12-01,-7.4
2017-01-01,-15.1
2017-02-01,-11.1
2017-03-01,-8.7
2017-04-01,-9.6
2017-05-01,-4.3
2017-06-01,1.2
2017-07-01,0.7
2017-08-01,1.6
2017-09-01,-4.7
2017-10-01,-3.8
2017-11-01,-10.1
2017-12-01,-13.6
2018-01-01,-11.2
2018-02-01,-16.9
2018-03-01,-12.5
2018-04-01,-5.9
2018-05-01,-3.5
2018-06-01,-0.2
2018-07-01,1.4
2018-08-01,2.0
