 

stn;time;rka150d0
BEKSE;20100725;0.1
BEKSE;20100726;6.3
BEKSE;20100727;10.5
BEKSE;20100728;0.1
BEKSE;20100729;30.0
BEKSE;20100730;4.2
BEKSE;20100731;0.0
BEKSE;20100801;10.3
BEKSE;20100802;14.1
BEKSE;20100803;8.1
BEKSE;20100804;0.0
BEKSE;20100805;33.7
BEKSE;20100806;5.9
BEKSE;20100807;0.0
BEKSE;20100808;0.4
BEKSE;20100809;0.0
BEKSE;20100810;0.0
BEKSE;20100811;1.6
BEKSE;20100812;20.1
BEKSE;20100813;4.9
BEKSE;20100814;22.5
BEKSE;20100815;15.1
BEKSE;20100816;4.7
BEKSE;20100817;1.2
BEKSE;20100818;3.8
BEKSE;20100819;1.1
BEKSE;20100820;14.0
BEKSE;20100821;0.0
BEKSE;20100822;0.0
BEKSE;20100823;2.8
BEKSE;20100824;2.7
BEKSE;20100825;0.0
BEKSE;20100826;0.0
BEKSE;20100827;21.7
BEKSE;20100828;34.1
BEKSE;20100829;0.2
BEKSE;20100830;17.4
BEKSE;20100831;5.1
BEKSE;20100901;0.0
BEKSE;20100902;0.0
BEKSE;20100903;0.0
BEKSE;20100904;0.0
BEKSE;20100905;0.0
BEKSE;20100906;0.0
BEKSE;20100907;0.5
BEKSE;20100908;16.1
BEKSE;20100909;7.1
BEKSE;20100910;0.3
BEKSE;20100911;0.0
BEKSE;20100912;24.6
BEKSE;20100913;17.9
BEKSE;20100914;0.0
BEKSE;20100915;0.0
BEKSE;20100916;0.6
BEKSE;20100917;5.9
BEKSE;20100918;0.6
BEKSE;20100919;0.0
BEKSE;20100920;0.0
BEKSE;20100921;0.0
BEKSE;20100922;0.0
BEKSE;20100923;0.0
BEKSE;20100924;10.4
BEKSE;20100925;38.9
BEKSE;20100926;5.4
BEKSE;20100927;4.7
BEKSE;20100928;0.0
BEKSE;20100929;0.0
BEKSE;20100930;5.7
BEKSE;20101001;1.7
BEKSE;20101002;0.0
BEKSE;20101003;0.0
BEKSE;20101004;6.4
BEKSE;20101005;7.6
BEKSE;20101006;0.0
BEKSE;20101007;0.0
BEKSE;20101008;0.0
BEKSE;20101009;0.0
BEKSE;20101010;0.0
BEKSE;20101011;0.0
BEKSE;20101012;0.0
BEKSE;20101013;0.0
BEKSE;20101014;0.0
BEKSE;20101015;0.0
BEKSE;20101016;10.9
BEKSE;20101017;2.3
BEKSE;20101018;2.0
